Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Corralea/Braneen,H 0440,0,0.181979,0.051445,0.072241,0.159663,0.208353,0,61.182301,0.530794,54.30876901,-7.939293904,1,sunflower and peanuts
Correl glen ,H 0754,0,0.242205,0.022679,0.109848,0.444195,0.136629,2619.213199,266.724899,0.160942,54.43450489,-7.892877258,1,sunflower and peanuts
Cottage hill,H 6751,0,0.05832,0.023473,0.000907,0.039443,0.00003,1393.357569,1404.548648,0.867265,54.40319925,-6.969050712,1,sunflower and peanuts
Craigs wood,C 9917,0.613693,0.013802,0,0.353005,0,0,2429.425615,43.14975,0.0195,54.99065022,-6.454085286,1,sunflower and peanuts
Cranny Falls,D 2718,0,0,0.009161,0.045524,0.146304,0.057454,3573.178401,140.94725,0.774823,54.99328311,-6.016461216,1,sunflower and peanuts
Cregagh Glen,H 3670,0.800157,0.148579,0,0,0.012086,0.039178,2068.269392,58.792,0.039178,54.57700607,-7.444054523,1,sunflower and peanuts
Creggan,H 6179,0.424065,0.005921,0.01708,0.552602,0,0,1301.795745,34.604185,0.000332,54.65544866,-7.055637333,1,sunflower and peanuts
Creightons wood,J 4278,0,0.04924,0,0.094892,0.095436,0.152479,0,24.3471,0.66205,54.63019255,-5.801871613,1,sunflower and peanuts
Crievehill quarry,H 4048,0.019761,0.101518,0,0.046523,0,0.090961,575.486062,2888.246588,0.630769,54.3790851,-7.385176394,1,sunflower and peanuts
Crocknafeola,J 2722,0,0.027916,0.008938,0.286338,0.24453,0.359329,2141.306851,189.310001,0.432278,54.13140607,-6.057881737,1,sunflower and peanuts
Cronghill,H 7153,0,0.022048,0.007333,0.171984,0.046008,0.138999,2796.794339,89.803748,0.735024,54.42062115,-6.906991118,1,sunflower and peanuts
Cullenfhad  ?,H 7360,0,0.141695,0.083496,0.11912,0,0.00713,2599.192553,32.6539,0.655688,54.48320954,-6.874463627,1,sunflower and peanuts
