prefix,number,gridid,X_centroid,Y_centroid,y,x,Field,Field1,Shape_Length,Shape_Area
C,6811,C6811,-7,55,54.946342999999999,-6.930890000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6812,C6812,-7,55,54.955325000000002,-6.930651000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6813,C6813,-7,55,54.964308000000003,-6.930413000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6814,C6814,-7,55,54.973289999999999,-6.930174000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6815,C6815,-7,55,54.982272000000002,-6.929935000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6816,C6816,-7,55,54.991253999999998,-6.929696000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6817,C6817,-7,55,55.000236000000001,-6.929457000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6818,C6818,-7,55,55.009217999999997,-6.929218000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6819,C6819,-7,55,55.018200000000000,-6.928978000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6820,C6820,-7,55,55.027182000000003,-6.928739000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6821,C6821,-7,55,55.036163999999999,-6.928499000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6822,C6822,-7,55,55.045146000000003,-6.928259000000000,0,0,4000.000000000000000,1000000.000000000000000
