prefix,number,gridid,y,x,Shape_Length,Shape_Area
G,55,G55,54.441451999999998,-8.693661000000001,40000.000000000000000,100000000.000000000000000
H,55,H55,54.440469000000000,-7.152209000000000,40000.000000000000000,100000000.000000000000000
J,55,J55,54.419832000000000,-5.611775000000000,40000.000000000000000,100000000.000000000000000
L,55,L55,53.524932000000000,-10.186734000000000,40000.000000000000000,100000000.000000000000000
M,55,M55,53.543002000000001,-8.678887000000000,40000.000000000000000,100000000.000000000000000
N,55,N55,53.542051000000001,-7.170265000000000,40000.000000000000000,100000000.000000000000000
R,55,R55,52.644415000000002,-8.664889000000001,40000.000000000000000,100000000.000000000000000
S,55,S55,52.643493999999997,-7.187373000000000,40000.000000000000000,100000000.000000000000000
V,55,V55,51.728749000000001,-10.098954000000001,40000.000000000000000,100000000.000000000000000
W,55,W55,51.745688999999999,-8.651612999999999,40000.000000000000000,100000000.000000000000000
H,56,H56,54.530303000000004,-7.150348000000000,40000.000000000000000,100000000.000000000000000
J,56,J56,54.509597999999997,-5.606540000000000,40000.000000000000000,100000000.000000000000000
L,56,L56,53.614724000000002,-10.191373000000000,40000.000000000000000,100000000.000000000000000
M,56,M56,53.632854000000002,-8.680329000000000,40000.000000000000000,100000000.000000000000000
N,56,N56,53.631898999999997,-7.168503000000000,40000.000000000000000,100000000.000000000000000
R,56,R56,52.734279999999998,-8.666255000000000,40000.000000000000000,100000000.000000000000000
S,56,S56,52.733356000000001,-7.185703000000000,40000.000000000000000,100000000.000000000000000
V,56,V56,51.818573000000001,-10.103127000000001,40000.000000000000000,100000000.000000000000000
W,56,W56,51.835568000000002,-8.652908999999999,40000.000000000000000,100000000.000000000000000
G,57,G57,54.621124999999999,-8.696714000000000,40000.000000000000000,100000000.000000000000000
H,57,H57,54.620134999999998,-7.148477000000000,40000.000000000000000,100000000.000000000000000
J,57,J57,54.599362999999997,-5.601275000000000,40000.000000000000000,100000000.000000000000000
L,57,L57,53.704514000000003,-10.196038000000000,40000.000000000000000,100000000.000000000000000
M,57,M57,53.722703000000003,-8.681778000000000,40000.000000000000000,100000000.000000000000000
N,57,N57,53.721746000000003,-7.166732000000000,40000.000000000000000,100000000.000000000000000
R,57,R57,52.824143999999997,-8.667629000000000,40000.000000000000000,100000000.000000000000000
S,57,S57,52.823217000000000,-7.184024000000000,40000.000000000000000,100000000.000000000000000
V,57,V57,51.908396000000003,-10.107322000000000,40000.000000000000000,100000000.000000000000000
W,57,W57,51.925445000000003,-8.654211999999999,40000.000000000000000,100000000.000000000000000
G,58,G58,54.710960000000000,-8.698254000000000,40000.000000000000000,100000000.000000000000000
H,58,H58,54.709966999999999,-7.146596000000000,40000.000000000000000,100000000.000000000000000
J,58,J58,54.689124999999997,-5.595981000000000,40000.000000000000000,100000000.000000000000000
M,58,M58,53.812551999999997,-8.683235000000000,40000.000000000000000,100000000.000000000000000
N,58,N58,53.811591000000000,-7.164951000000000,40000.000000000000000,100000000.000000000000000
R,58,R58,52.914006000000001,-8.669010000000000,40000.000000000000000,100000000.000000000000000
S,58,S58,52.913075999999997,-7.182336000000000,40000.000000000000000,100000000.000000000000000
V,58,V58,51.998216999999997,-10.111537999999999,40000.000000000000000,100000000.000000000000000
W,58,W58,52.015321000000000,-8.655523000000001,40000.000000000000000,100000000.000000000000000
G,59,G59,54.800792999999999,-8.699801000000001,40000.000000000000000,100000000.000000000000000
H,59,H59,54.799796999999998,-7.144705000000000,40000.000000000000000,100000000.000000000000000
M,59,M59,53.902399000000003,-8.684699999999999,40000.000000000000000,100000000.000000000000000
N,59,N59,53.901434999999999,-7.163160000000000,40000.000000000000000,100000000.000000000000000
